Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-19.5,28.0,90.0,top
C2,22u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-1.5,20.0,-90.0,top
C3,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-4.0,38.5,0.0,top
C4,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-4.0,47.0,0.0,top
C5,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-9.0,48.5,180.0,top
D1,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,-7.5,42.77,90.0,top
D2,SMAJ45CA,D_SMA_Handsoldering,-10.5,17.5,0.0,top
J1,Conn_01x03,Molex_SPOX_5268-03A_1x03_P2.50mm_Horizontal,-20.5,57.855,180.0,top
J2,Conn_01x03,Molex_SPOX_5268-03A_1x03_P2.50mm_Horizontal,-9.5,57.855,180.0,top
J3,Conn_02x05_Odd_Even,PinSocket_2x05_P2.54mm_Horizontal,-32.52,58.355,90.0,top
J4,Conn_01x06,PinSocket_1x06_P2.54mm_Vertical,-33.77,62.5,90.0,top
J5,Conn_01x02,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,-11.5,9.025,180.0,top
MD1,OKL-T_6-W12N-C,MURATA_OKL-T-6-W12N-C_0,-10.0,27.125125,180.0,top
Q1,2N3906,TO-92_Inline,-13.77,44.5,0.0,top
R2,1.2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-15.5,36.0,90.0,top
R3,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-13.5,39.86,90.0,top
R4,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-11.5,39.86,90.0,top
R5,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-4.661593,49.96789,0.0,top
R6,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-4.661593,53.96789,0.0,top
R7,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-4.661593,51.96789,0.0,top
U1,~,VSSOP-8_2.3x2mm_P0.5mm,-11.275,50.5,0.0,top
U2,MC78L05_SOT89,SOT-89-3,-3.3,42.5,0.0,top
